act_symbol,date,when
AAPL,2020-01-28,After market close
AAPL,2020-04-30,After market close
AAPL,2020-07-30,After market close
AAPL,2020-10-29,After market close
AAPL,2021-01-27,After market close
AAPL,2021-04-28,After market close
AAPL,2021-07-27,After market close
AAPL,2021-10-28,After market close
AAPL,2022-04-28,After market close
AAPL,2022-07-28,After market close
AAPL,2022-10-27,After market close
AAPL,2023-02-02,After market close
AAPL,2023-05-04,After market close
AAPL,2023-08-03,After market close
AAPL,2023-11-02,After market close
AAPL,2024-02-01,After market close
AAPL,2024-05-02,After market close
AAPL,2024-08-01,After market close
AAPL,2024-10-31,After market close
AAPL,2025-01-30,After market close
AAPL,2025-05-01,After market close
ADBE,2020-03-12,After market close
ADBE,2020-06-11,After market close
ADBE,2020-09-15,After market close
ADBE,2020-12-10,Before market open
ADBE,2021-03-23,After market close
ADBE,2021-06-17,After market close
ADBE,2021-09-21,After market close
ADBE,2021-12-16,Before market open
ADBE,2022-03-22,After market close
ADBE,2022-06-16,After market close
ADBE,2022-09-15,After market close
ADBE,2022-12-15,After market close
ADBE,2023-03-15,After market close
ADBE,2023-06-15,After market close
ADBE,2023-09-14,After market close
ADBE,2023-12-13,After market close
ADBE,2024-03-14,After market close
ADBE,2024-06-13,After market close
ADBE,2024-09-12,After market close
ADBE,2024-12-11,After market close
ADBE,2025-03-12,After market close
ADI,2020-02-19,Before market open
ADI,2020-05-20,Before market open
ADI,2020-08-19,Before market open
ADI,2020-11-24,Before market open
ADI,2021-02-17,Before market open
ADI,2021-05-19,Before market open
ADI,2021-08-18,Before market open
ADI,2021-11-23,Before market open
ADI,2022-02-16,Before market open
ADI,2022-05-18,Before market open
ADI,2022-08-17,Before market open
ADI,2022-11-22,Before market open
ADI,2023-02-15,Before market open
ADI,2023-05-24,Before market open
ADI,2023-08-23,Before market open
ADI,2023-11-21,Before market open
ADI,2024-02-21,Before market open
ADI,2024-05-22,Before market open
ADI,2024-08-21,Before market open
ADI,2024-11-26,Before market open
ADI,2025-02-19,Before market open
ADI,2025-05-28,
ADP,2020-01-29,Before market open
ADP,2020-04-29,Before market open
ADP,2020-07-29,Before market open
ADP,2020-10-28,Before market open
ADP,2021-01-27,Before market open
ADP,2021-04-28,Before market open
ADP,2021-07-28,Before market open
ADP,2021-10-27,Before market open
ADP,2022-04-27,Before market open
ADP,2022-07-27,Before market open
ADP,2022-10-26,Before market open
ADP,2023-01-25,Before market open
ADP,2023-04-26,Before market open
ADP,2023-07-26,Before market open
ADP,2023-10-25,Before market open
ADP,2024-01-31,Before market open
ADP,2024-05-01,Before market open
ADP,2024-07-31,Before market open
ADP,2024-10-30,Before market open
ADP,2025-01-29,Before market open
ADP,2025-04-30,Before market open
AMAT,2020-02-12,After market close
AMAT,2020-05-14,After market close
AMAT,2020-08-13,After market close
AMAT,2020-11-12,After market close
AMAT,2021-02-10,
AMAT,2021-05-20,After market close
AMAT,2021-08-19,After market close
AMAT,2021-11-18,After market close
AMAT,2022-02-16,After market close
AMAT,2022-05-19,After market close
AMAT,2022-08-18,After market close
AMAT,2022-11-17,After market close
AMAT,2023-02-16,After market close
AMAT,2023-05-18,After market close
AMAT,2023-08-17,After market close
AMAT,2023-11-16,After market close
AMAT,2024-02-15,After market close
AMAT,2024-05-16,After market close
AMAT,2024-08-15,After market close
AMAT,2024-11-14,After market close
AMAT,2025-02-13,After market close
AMAT,2025-05-15,After market close
AMD,2020-01-28,After market close
AMD,2020-04-28,After market close
AMD,2020-07-28,After market close
AMD,2020-10-27,After market close
AMD,2021-01-26,After market close
AMD,2021-04-27,After market close
AMD,2021-07-27,After market close
AMD,2021-10-26,After market close
AMD,2022-02-01,After market close
AMD,2022-05-03,After market close
AMD,2022-08-02,After market close
AMD,2022-11-01,After market close
AMD,2023-01-31,After market close
AMD,2023-05-02,After market close
AMD,2023-08-01,After market close
AMD,2023-10-31,After market close
AMD,2024-01-30,After market close
AMD,2024-04-30,After market close
AMD,2024-07-30,After market close
AMD,2024-10-29,After market close
AMD,2025-02-04,After market close
AMD,2025-05-06,After market close
AMGN,2020-01-30,After market close
AMGN,2020-04-30,After market close
AMGN,2020-07-28,After market close
AMGN,2020-10-28,After market close
AMGN,2021-02-02,After market close
AMGN,2021-04-27,After market close
AMGN,2021-08-03,After market close
AMGN,2021-11-02,After market close
AMGN,2022-02-07,After market close
AMGN,2022-04-27,After market close
AMGN,2022-08-04,After market close
AMGN,2022-11-03,After market close
AMGN,2023-01-31,After market close
AMGN,2023-04-27,After market close
AMGN,2023-08-03,After market close
AMGN,2023-10-31,Before market open
AMGN,2024-02-06,After market close
AMGN,2024-05-02,After market close
AMGN,2024-08-06,After market close
AMGN,2024-10-30,After market close
AMGN,2025-02-04,After market close
AMGN,2025-05-01,After market close
AMZN,2020-01-30,After market close
AMZN,2020-04-30,After market close
AMZN,2020-07-30,After market close
AMZN,2020-10-29,After market close
AMZN,2021-02-02,After market close
AMZN,2021-04-29,After market close
AMZN,2021-07-29,After market close
AMZN,2021-10-28,After market close
AMZN,2022-02-03,After market close
AMZN,2022-04-28,After market close
AMZN,2022-07-28,After market close
AMZN,2022-10-27,After market close
AMZN,2023-02-02,After market close
AMZN,2023-04-27,After market close
AMZN,2023-08-03,After market close
AMZN,2023-10-26,After market close
AMZN,2024-02-01,After market close
AMZN,2024-04-30,After market close
AMZN,2024-08-01,After market close
AMZN,2024-10-31,After market close
AMZN,2025-02-06,After market close
AMZN,2025-05-01,After market close
APP,2021-08-11,After market close
APP,2021-11-10,After market close
APP,2022-02-16,After market close
APP,2022-05-11,After market close
APP,2022-08-10,After market close
APP,2022-11-09,After market close
APP,2023-02-08,After market close
APP,2023-05-10,After market close
APP,2023-08-09,After market close
APP,2023-11-08,After market close
APP,2024-02-14,After market close
APP,2024-05-08,After market close
APP,2024-08-07,After market close
APP,2024-11-06,After market close
APP,2025-02-12,After market close
APP,2025-05-07,After market close
AVGO,2020-03-12,After market close
AVGO,2020-06-04,After market close
AVGO,2020-09-03,After market close
AVGO,2020-12-10,After market close
AVGO,2021-03-04,After market close
AVGO,2021-06-03,After market close
AVGO,2021-09-02,After market close
AVGO,2021-12-09,After market close
AVGO,2022-03-03,After market close
AVGO,2022-09-01,After market close
AVGO,2022-12-08,After market close
AVGO,2023-03-02,After market close
AVGO,2023-06-01,After market close
AVGO,2023-08-31,After market close
AVGO,2023-12-07,After market close
AVGO,2024-03-07,After market close
AVGO,2024-06-12,After market close
AVGO,2024-09-05,After market close
AVGO,2024-12-12,After market close
AVGO,2025-03-06,After market close
BKNG,2020-02-26,After market close
BKNG,2020-05-07,After market close
BKNG,2020-08-06,After market close
BKNG,2020-11-05,After market close
BKNG,2021-02-24,After market close
BKNG,2021-05-05,After market close
BKNG,2021-08-04,After market close
BKNG,2021-11-03,After market close
BKNG,2022-02-23,After market close
BKNG,2022-05-04,After market close
BKNG,2022-08-03,After market close
BKNG,2022-11-02,After market close
BKNG,2023-02-23,After market close
BKNG,2023-05-04,After market close
BKNG,2023-08-03,After market close
BKNG,2023-11-02,After market close
BKNG,2024-02-22,After market close
BKNG,2024-05-02,After market close
BKNG,2024-08-01,After market close
BKNG,2024-10-30,After market close
BKNG,2025-02-20,After market close
BKNG,2025-04-29,After market close
CDNS,2020-02-12,After market close
CDNS,2020-04-20,After market close
CDNS,2020-07-20,After market close
CDNS,2020-10-19,After market close
CDNS,2021-02-22,After market close
CDNS,2021-04-26,After market close
CDNS,2021-07-26,After market close
CDNS,2021-10-25,After market close
CDNS,2022-02-22,After market close
CDNS,2022-04-25,After market close
CDNS,2022-07-25,After market close
CDNS,2022-10-24,After market close
CDNS,2023-02-13,After market close
CDNS,2023-04-24,After market close
CDNS,2023-07-24,After market close
CDNS,2023-10-23,After market close
CDNS,2024-02-12,After market close
CDNS,2024-04-22,After market close
CDNS,2024-07-22,After market close
CDNS,2024-10-28,After market close
CDNS,2025-02-18,After market close
CDNS,2025-04-28,After market close
CEG,2022-08-04,Before market open
CEG,2022-11-08,Before market open
CEG,2023-02-16,Before market open
CEG,2023-05-04,Before market open
CEG,2023-08-03,Before market open
CEG,2024-02-27,Before market open
CEG,2024-05-09,Before market open
CEG,2024-08-06,Before market open
CEG,2024-11-04,Before market open
CEG,2025-05-06,Before market open
CMCSA,2020-01-23,Before market open
CMCSA,2020-04-30,Before market open
CMCSA,2020-07-30,Before market open
CMCSA,2020-10-29,Before market open
CMCSA,2021-01-28,Before market open
CMCSA,2021-04-29,Before market open
CMCSA,2021-07-29,Before market open
CMCSA,2021-10-28,Before market open
CMCSA,2022-04-28,Before market open
CMCSA,2022-07-28,Before market open
CMCSA,2022-10-27,Before market open
CMCSA,2023-01-26,Before market open
CMCSA,2023-04-27,Before market open
CMCSA,2023-07-27,Before market open
CMCSA,2023-10-26,Before market open
CMCSA,2024-01-25,Before market open
CMCSA,2024-04-25,Before market open
CMCSA,2024-07-23,Before market open
CMCSA,2024-10-31,Before market open
CMCSA,2025-01-30,Before market open
CMCSA,2025-04-24,Before market open
COST,2020-05-28,After market close
COST,2020-09-24,After market close
COST,2020-12-10,After market close
COST,2021-05-27,After market close
COST,2021-09-23,After market close
COST,2021-12-09,After market close
COST,2022-05-26,After market close
COST,2022-09-22,After market close
COST,2022-12-08,After market close
COST,2023-05-25,After market close
COST,2023-09-26,After market close
COST,2023-12-14,After market close
COST,2024-05-30,After market close
COST,2024-09-26,After market close
COST,2024-12-12,After market close
COST,2025-05-29,After market close
CRWD,2020-03-19,After market close
CRWD,2020-06-02,After market close
CRWD,2020-09-02,After market close
CRWD,2020-12-02,After market close
CRWD,2021-03-16,After market close
CRWD,2021-06-03,After market close
CRWD,2021-08-31,After market close
CRWD,2021-12-01,After market close
CRWD,2022-03-09,After market close
CRWD,2022-06-02,After market close
CRWD,2022-08-30,After market close
CRWD,2022-11-29,After market close
CRWD,2023-03-07,After market close
CRWD,2023-05-31,After market close
CRWD,2023-08-30,After market close
CRWD,2023-11-28,After market close
CRWD,2024-03-05,After market close
CRWD,2024-06-04,After market close
CRWD,2024-08-28,After market close
CRWD,2024-11-26,After market close
CRWD,2025-03-04,After market close
CRWD,2025-06-03,
CSCO,2020-02-12,After market close
CSCO,2020-05-13,After market close
CSCO,2020-08-12,After market close
CSCO,2020-11-12,After market close
CSCO,2021-02-09,After market close
CSCO,2021-05-19,After market close
CSCO,2021-08-18,After market close
CSCO,2021-11-17,After market close
CSCO,2022-02-16,After market close
CSCO,2022-05-18,After market close
CSCO,2022-08-17,After market close
CSCO,2022-11-16,After market close
CSCO,2023-02-15,After market close
CSCO,2023-05-17,After market close
CSCO,2023-08-16,After market close
CSCO,2023-11-15,After market close
CSCO,2024-02-14,After market close
CSCO,2024-05-15,After market close
CSCO,2024-08-14,After market close
CSCO,2024-11-13,After market close
CSCO,2025-02-12,After market close
CSCO,2025-05-21,
CTAS,2020-03-19,After market close
CTAS,2020-07-23,Before market open
CTAS,2020-09-23,Before market open
CTAS,2020-12-22,Before market open
CTAS,2021-03-17,Before market open
CTAS,2021-07-15,Before market open
CTAS,2021-09-29,Before market open
CTAS,2021-12-22,Before market open
CTAS,2022-03-23,Before market open
CTAS,2022-07-14,Before market open
CTAS,2022-09-28,Before market open
CTAS,2022-12-21,Before market open
CTAS,2023-03-29,Before market open
CTAS,2023-07-13,Before market open
CTAS,2023-09-26,Before market open
CTAS,2023-12-21,Before market open
CTAS,2024-03-27,Before market open
CTAS,2024-07-18,Before market open
CTAS,2024-09-25,Before market open
CTAS,2024-12-19,Before market open
CTAS,2025-03-26,Before market open
DASH,2021-02-25,After market close
DASH,2021-05-13,After market close
DASH,2021-08-12,After market close
DASH,2021-11-09,After market close
DASH,2022-02-16,After market close
DASH,2022-05-05,After market close
DASH,2022-08-04,After market close
DASH,2022-11-03,After market close
DASH,2023-02-16,After market close
DASH,2023-05-04,After market close
DASH,2023-08-02,After market close
DASH,2023-11-01,After market close
DASH,2024-02-15,After market close
DASH,2024-05-01,After market close
DASH,2024-08-01,After market close
DASH,2024-10-30,After market close
DASH,2025-02-11,After market close
DASH,2025-05-07,After market close
FTNT,2020-02-06,After market close
FTNT,2020-05-06,After market close
FTNT,2020-08-06,After market close
FTNT,2020-10-29,After market close
FTNT,2021-02-04,After market close
FTNT,2021-04-29,After market close
FTNT,2021-07-29,After market close
FTNT,2021-11-04,After market close
FTNT,2022-02-03,After market close
FTNT,2022-05-04,After market close
FTNT,2022-08-03,After market close
FTNT,2022-11-02,After market close
FTNT,2023-02-07,After market close
FTNT,2023-05-04,After market close
FTNT,2023-08-03,After market close
FTNT,2023-11-02,After market close
FTNT,2024-02-06,After market close
FTNT,2024-05-02,After market close
FTNT,2024-08-06,After market close
FTNT,2024-11-07,After market close
FTNT,2025-02-06,After market close
FTNT,2025-05-07,After market close
GILD,2020-02-04,After market close
GILD,2020-04-30,After market close
GILD,2020-07-30,After market close
GILD,2020-10-28,After market close
GILD,2021-02-04,After market close
GILD,2021-04-29,After market close
GILD,2021-07-29,After market close
GILD,2021-10-28,After market close
GILD,2022-02-01,After market close
GILD,2022-04-28,After market close
GILD,2022-08-02,After market close
GILD,2022-10-27,After market close
GILD,2023-02-02,After market close
GILD,2023-04-27,After market close
GILD,2023-08-03,After market close
GILD,2023-11-07,After market close
GILD,2024-02-06,After market close
GILD,2024-04-25,After market close
GILD,2024-08-08,After market close
GILD,2024-11-06,After market close
GILD,2025-02-11,After market close
GILD,2025-04-24,After market close
GOOG,2020-02-03,After market close
GOOG,2020-04-28,After market close
GOOG,2020-07-30,After market close
GOOG,2020-10-29,After market close
GOOG,2021-02-02,After market close
GOOG,2021-04-27,After market close
GOOG,2021-07-27,After market close
GOOG,2021-10-26,After market close
GOOG,2022-02-01,After market close
GOOG,2022-04-26,After market close
GOOG,2022-07-26,After market close
GOOG,2022-10-25,After market close
GOOG,2023-02-02,After market close
GOOG,2023-04-25,After market close
GOOG,2023-07-25,After market close
GOOG,2023-10-24,After market close
GOOG,2024-01-30,After market close
GOOG,2024-04-25,After market close
GOOG,2024-07-23,After market close
GOOG,2024-10-29,Before market open
GOOG,2025-02-04,After market close
GOOG,2025-04-24,After market close
GOOGL,2020-02-03,After market close
GOOGL,2020-04-28,After market close
GOOGL,2020-07-30,After market close
GOOGL,2020-10-29,After market close
GOOGL,2021-02-02,After market close
GOOGL,2021-04-27,After market close
GOOGL,2021-07-27,After market close
GOOGL,2021-10-26,After market close
GOOGL,2022-02-01,After market close
GOOGL,2022-04-26,After market close
GOOGL,2022-07-26,After market close
GOOGL,2022-10-25,After market close
GOOGL,2023-02-02,After market close
GOOGL,2023-04-25,After market close
GOOGL,2023-07-25,After market close
GOOGL,2023-10-24,After market close
GOOGL,2024-01-30,After market close
GOOGL,2024-04-25,After market close
GOOGL,2024-07-23,After market close
GOOGL,2024-10-29,Before market open
GOOGL,2025-02-04,After market close
GOOGL,2025-04-24,After market close
HON,2020-01-31,Before market open
HON,2020-05-01,Before market open
HON,2020-07-24,Before market open
HON,2020-10-30,Before market open
HON,2021-01-29,Before market open
HON,2021-04-23,Before market open
HON,2021-07-23,Before market open
HON,2021-10-22,Before market open
HON,2022-02-03,Before market open
HON,2022-04-29,Before market open
HON,2022-07-28,Before market open
HON,2022-10-27,Before market open
HON,2023-02-02,Before market open
HON,2023-04-27,Before market open
HON,2023-07-27,Before market open
HON,2023-10-26,Before market open
HON,2024-02-01,Before market open
HON,2024-04-25,Before market open
HON,2024-07-25,Before market open
HON,2024-10-24,Before market open
HON,2025-02-06,Before market open
HON,2025-04-29,Before market open
INTC,2020-01-23,After market close
INTC,2020-04-23,After market close
